Date,Time,Open,High,Low,Close,Volume
2017.02.09,17:00,11636.8,11654.3,11624.5,11633.0,1445
2017.02.09,18:00,11633.3,11638.0,11630.0,11634.8,582
2017.02.09,19:00,11635.5,11643.3,11632.5,11643.0,430
2017.02.09,20:00,11643.3,11656.5,11640.0,11651.3,424
2017.02.09,21:00,11651.8,11654.5,11636.5,11639.5,506
2017.02.10,08:00,11673.5,11713.5,11672.5,11710.0,930
2017.02.10,09:00,11711.5,11715.8,11677.5,11681.5,2173
2017.02.10,10:00,11682.0,11702.8,11664.8,11689.0,1323
2017.02.10,11:00,11688.5,11692.8,11651.3,11651.8,1140
2017.02.10,12:00,11654.0,11664.3,11643.5,11658.8,1039
2017.02.10,13:00,11658.5,11678.8,11657.0,11675.3,854
2017.02.10,14:00,11675.8,11677.8,11650.8,11652.5,842
2017.02.10,15:00,11653.3,11668.3,11651.5,11657.3,1185
2017.02.10,16:00,11657.5,11664.8,11638.8,11662.3,1498
2017.02.10,17:00,11662.0,11668.8,11652.8,11666.8,1254
2017.02.10,18:00,11667.5,11673.8,11661.0,11667.5,538
2017.02.10,19:00,11667.0,11677.3,11661.5,11672.0,608
2017.02.10,20:00,11672.5,11679.5,11670.0,11670.3,398
2017.02.10,21:00,11671.3,11675.3,11659.5,11661.5,535
2017.02.13,08:00,11664.0,11691.5,11662.8,11690.8,570
2017.02.13,09:00,11689.8,11715.3,11677.0,11707.0,1538
2017.02.13,10:00,11705.8,11739.8,11704.5,11729.8,1171
2017.02.13,11:00,11731.0,11733.8,11715.5,11728.3,766
2017.02.13,12:00,11728.0,11761.8,11727.0,11761.8,803
2017.02.13,13:00,11762.3,11775.0,11757.0,11766.8,936
2017.02.13,14:00,11767.3,11794.0,11765.3,11788.3,921
2017.02.13,15:00,11788.0,11807.8,11784.0,11789.5,1264
2017.02.13,16:00,11790.3,11801.8,11776.3,11790.0,1147
2017.02.13,17:00,11790.5,11790.5,11767.3,11771.3,1112
2017.02.13,18:00,11771.8,11782.3,11771.0,11782.3,389
2017.02.13,19:00,11782.8,11799.3,11781.8,11789.0,528
2017.02.13,20:00,11788.8,11792.8,11780.5,11780.5,342
2017.02.13,21:00,11780.0,11783.8,11767.5,11768.8,438
2017.02.14,08:00,11766.0,11778.0,11755.3,11771.5,710
2017.02.14,09:00,11772.0,11777.0,11749.0,11768.5,1502
2017.02.14,10:00,11768.0,11774.5,11756.5,11770.8,1075
2017.02.14,11:00,11771.3,11780.5,11758.0,11777.5,867
2017.02.14,12:00,11778.5,11782.3,11760.5,11776.5,785
2017.02.14,13:00,11776.0,11777.8,11761.5,11766.5,632
2017.02.14,14:00,11766.0,11775.3,11754.5,11761.5,742
